# MIDI File Information
Filename,Arbeau_Thoinot_-_Pavana.mid
Duration (seconds),90.43
Tempo Adjustment Factor,1.00
Resolution (ticks/beat),240

# Tempo Changes
Time (seconds),Tempo (BPM)
0.0000,89.00
44.4944,86.00
47.2851,89.00
87.7345,80.00

# Time Signature Changes
Time (seconds),Numerator,Denominator
0.0000,2,4

# Instrument 1: Unnamed 
Note #,Start (s),End (s),Duration (s),Pitch,Note Name,Velocity,Note-on Velocity,Note-off Velocity
3,6.0674,6.6067,0.5393,52,E3,127,127,0
4,6.7416,7.2809,0.5393,57,A3,127,127,0
5,7.4157,7.9551,0.5393,55,G3,127,127,0
6,8.0899,9.1685,1.0787,48,C3,127,127,0
7,9.4382,9.9775,0.5393,48,C3,127,127,0
8,10.1124,10.6517,0.5393,48,C3,127,127,0
9,10.7865,11.3258,0.5393,53,F3,127,127,0
10,11.4607,12.0000,0.5393,52,E3,127,127,0
11,12.1348,12.6742,0.5393,53,F3,127,127,0
12,12.8090,13.3483,0.5393,55,G3,127,127,0
13,13.4831,14.5618,1.0787,48,C3,127,127,0
14,14.8315,15.9101,1.0787,57,A3,127,127,0
15,16.1798,16.7191,0.5393,57,A3,127,127,0
16,16.8539,17.3933,0.5393,52,E3,127,127,0
17,17.5281,18.0674,0.5393,57,A3,127,127,0
18,18.2022,18.7416,0.5393,55,G3,127,127,0
19,18.8764,19.9550,1.0787,48,C3,127,127,0
20,20.2247,20.7640,0.5393,48,C3,127,127,0
21,20.8989,21.4382,0.5393,48,C3,127,127,0
22,21.5730,22.1123,0.5393,50,D3,127,127,0
23,22.2472,22.7865,0.5393,52,E3,127,127,0
24,22.9213,23.4607,0.5393,57,A3,127,127,0
25,23.5955,24.1348,0.5393,55,G3,127,127,0
26,24.2697,25.3483,1.0787,48,C3,127,127,0
27,25.6180,26.6966,1.0787,60,C4,127,127,0
28,26.9663,27.5056,0.5393,55,G3,127,127,0
29,27.6404,28.1798,0.5393,52,E3,127,127,0
30,28.3146,28.8539,0.5393,53,F3,127,127,0
31,28.9888,29.5281,0.5393,50,D3,127,127,0
32,29.6629,30.7416,1.0787,52,E3,127,127,0
33,31.0112,32.0899,1.0787,48,C3,127,127,0
34,32.3595,32.8989,0.5393,50,D3,127,127,0
35,33.0337,33.5730,0.5393,57,A3,127,127,0
36,33.7079,34.2472,0.5393,52,E3,127,127,0
37,34.3820,34.9213,0.5393,52,E3,127,127,0
38,35.0562,36.1348,1.0787,57,A3,127,127,0
39,36.4045,37.4831,1.0787,60,C4,127,127,0
40,37.7528,38.2921,0.5393,55,G3,127,127,0
41,38.4269,38.9663,0.5393,52,E3,127,127,0
42,39.1011,39.6404,0.5393,53,F3,127,127,0
43,39.7753,40.3146,0.5393,50,D3,127,127,0
44,40.4494,41.5281,1.0787,52,E3,127,127,0
45,41.7977,42.8764,1.0787,48,C3,127,127,0
46,43.1460,43.6854,0.5393,50,D3,127,127,0
