# MIDI File Information
Filename,tx437pj1389-exp-tempo95.mid
Duration (seconds),584.53
Tempo Adjustment Factor,1.30
Resolution (ticks/beat),570

# Tempo Changes
Time (seconds),Tempo (BPM)
347,152.1200,152.6332,0.5132,40,E2,72,36,0
348,152.1667,152.6372,0.4705,64,E4,72,36,0
349,152.9531,153.4290,0.4758,64,E4,70,35,0
350,152.9624,153.3556,0.3932,56,G#3,70,35,0
351,153.3690,153.5196,0.1506,59,B3,66,33,0
352,153.7275,154.0927,0.3652,47,B2,72,36,0
353,153.7289,154.0954,0.3665,35,B1,72,36,0
354,154.5592,155.0709,0.5116,63,D#4,74,37,0
355,154.9869,155.1708,0.1839,59,B3,68,34,0
356,154.9936,155.1615,0.1679,66,F#4,68,34,0
357,155.3733,155.7117,0.3384,47,B2,74,37,0
358,155.3746,155.6971,0.3224,35,B1,74,37,0
359,156.2473,156.7270,0.4797,63,D#4,82,41,0
360,156.6830,156.9682,0.2851,66,F#4,76,38,0
361,156.6844,156.9775,0.2931,59,B3,76,38,0
362,157.0268,157.4132,0.3864,48,C3,84,42,0
363,157.0361,157.4225,0.3864,36,C2,84,42,0
364,157.9235,158.4457,0.5223,63,D#4,88,44,0
365,158.3525,158.5430,0.1905,66,F#4,90,45,0
366,158.3605,158.5537,0.1932,60,C4,92,46,0
367,158.7056,159.1253,0.4197,36,C2,98,49,0
368,158.7455,159.1332,0.3877,48,C3,100,50,0
369,159.7446,160.3759,0.6313,63,D#4,104,52,0
370,160.2907,160.5224,0.2317,66,F#4,116,58,0
371,160.3160,160.5238,0.2078,56,G#3,116,58,0
372,160.5730,161.3229,0.7498,32,G#1,126,63,0
373,160.9459,161.3135,0.3676,44,G#2,127,80,0
374,162.0713,163.2793,1.2080,56,G#3,76,38,0
375,163.3965,167.0672,3.6707,56,G#3,74,37,0
376,163.4525,164.3194,0.8669,65,F4,74,37,0
377,164.1942,164.9065,0.7122,66,F#4,72,36,0
378,164.8626,165.4004,0.5378,65,F4,70,35,0
379,165.3724,165.7745,0.4021,66,F#4,66,33,0
380,166.1286,167.0739,0.9452,66,F#4,66,33,0
381,168.1376,168.7819,0.6444,37,C#2,78,39,0
382,168.3812,168.8804,0.4992,65,F4,76,38,0
383,168.7300,168.9629,0.2329,49,C#3,68,34,0
384,168.9935,169.1213,0.1278,51,D#3,68,34,0
385,169.1013,169.4819,0.3806,49,C#3,72,36,0
386,169.4620,169.6922,0.2302,61,C#4,66,33,0
387,169.6669,169.8745,0.2076,49,C#3,66,33,0
388,169.8399,170.0395,0.1996,51,D#3,68,34,0
389,170.0449,170.2032,0.1584,49,C#3,72,36,0
390,170.2844,170.4827,0.1983,49,C#3,70,35,0
391,170.4454,170.9524,0.5070,37,C#2,74,37,0
392,170.8526,171.0163,0.1637,49,C#3,72,36,0
393,170.9551,171.2239,0.2688,66,F#4,70,35,0
394,171.0855,171.2505,0.1650,51,D#3,70,35,0
395,171.2239,171.5925,0.3686,49,C#3,72,36,0
396,171.3224,172.0330,0.7106,66,F#4,72,36,0
397,171.5233,171.7070,0.1836,61,C#4,68,34,0
398,171.6963,171.8986,0.2023,49,C#3,72,36,0
399,171.8547,172.0676,0.2129,51,D#3,70,35,0
400,172.0330,172.1874,0.1544,49,C#3,66,33,0
401,172.1275,172.4642,0.3367,66,F#4,66,33,0
402,172.2672,172.4482,0.1810,49,C#3,70,35,0
403,172.4216,172.7956,0.3739,37,C#2,74,37,0
404,172.5440,172.8262,0.2821,66,F#4,76,38,0
405,172.7756,172.9100,0.1344,49,C#3,80,40,0
406,172.9819,173.1575,0.1757,51,D#3,86,43,0
